¹	x1	x2	u	y
1	-1.1275652510327885	-0.9019415436946101	-0.07358584622847764	-0.08055654252112115
2	5.676627605221442	-0.6356863075671753	0.586871070920035	0.5368019468293869
3	-4.527589175776431	0.050031258199676465	-0.2218875550930164	-0.24307416192003736
4	1.3695332976184535	0.5832858817254258	1.072826029706392	0.9416810239414926
5	-2.3936876129911493	0.025650850701501193	-0.41849861357149487	-0.46683456081890046
6	4.930353836984484	-0.9460628159736821	1.1036957987033742	1.205774370608268
7	-2.96371013372059	-0.6990963004535586	0.14928710350705898	0.11278689120290641
8	5.025936428502632	0.20418465826975418	0.24670562624178133	0.2540211832346403
9	-1.0518421443930217	-0.4082072135414463	-0.7841725330868249	-0.7568090390464384
10	1.247500894213117	-0.5960041897447905	1.1590115264893541	1.1659863054859625
11	-4.267386282608954	-0.48092054828088804	-0.006366381560269058	-0.02623209211861967
12	1.0826886287797934	0.6049235424938857	1.2917022574906576	1.24384690206696
13	-2.9748547993065158	0.606869535761998	0.030225605308562442	-0.04886653561054577
14	4.7324653320112375	0.5429688843204663	0.5119083266724026	0.5202237526572373
15	-4.904386122082825	-0.5758266388833184	0.12371523220454411	0.11605889905820123
16	4.825648679193137	0.9532531654845913	1.1218385977795398	1.1731898910292473
17	-3.0131752184091436	-0.9949767137938965	0.6559901669119452	0.7546692677965143
18	1.7562277814735237	0.5069965584856984	0.829254659122109	0.6864862251406412
19	-3.963963767391602	0.13798533350718478	-0.23618295275384543	-0.15007075059064742
20	1.0936773549265761	0.20965913008109993	0.9604180377647307	1.0088291613073406
21	-2.755780363497062	-0.14612006022391433	-0.3432929416661922	-0.32256397629965033
22	3.1180963547865987	-0.7025614418792911	0.8183489182870023	0.798256584059796
23	-1.948413544110613	-0.5236627662638627	-0.24001615348713268	-0.2392871004871244
24	1.913768465398555	0.39266200867413326	0.6796657372528528	0.7315898791316704
25	-2.1621345194780757	0.4152019513138956	-0.2912338669679695	-0.37255374978188854
26	4.769514850391044	0.0031984575880268373	0.21544499540551612	0.18606249665675825
27	-4.356955617379282	-0.09569484922507487	-0.22372708074887201	-0.24389829841288302
28	2.861029260066834	0.941282262310217	1.2394920171777444	1.2115255447688025
29	-3.9168185916962983	-0.1946788291837247	-0.220345685593832	-0.22565157236745154
30	1.9535573410686076	0.7326457523073875	1.0516833097555325	1.0589961353785637
31	-3.2482851951035365	-0.849446561336934	0.41137148892555914	0.35498068078167394
32	3.194062810482289	-0.2630481588318625	0.386442973274223	0.3900969607056489
33	-3.6626377613591297	0.134337978116698	-0.25762978460706254	-0.29962423066617766
34	1.6941796248837506	0.900928872284241	1.4047132891946492	1.3161862135772693
35	-2.9700815348072958	-0.03873790598189175	-0.337164423553613	-0.35807769318838545
36	4.30831938696932	-0.4013068240056199	0.39842442426537195	0.46070325908079923
37	-3.963021138755024	0.8389092960248583	0.4485569323622215	0.4561924831987328
38	2.439072659301866	0.39695679238074577	0.5710453494876828	0.5420941513191544
39	-5.6572449671031215	-0.8954046825444448	0.6202382738725807	0.5473470147391393
40	5.5685127619791395	-0.30295739153767687	0.27790256147351106	0.37391674793969487
41	-3.463021129873835	0.7585658258529442	0.2842697444779915	0.2717142206773309
42	3.2019796730656855	-0.9305206107639006	1.1822843267482521	1.2133772934799798
43	-5.723002981112627	-0.13637431879243156	-0.1608721259328531	-0.09979370005514257
44	5.448453018117328	0.3158810248646029	0.28979919885807226	0.29061533153168995
45	-4.962325181341736	-0.3244430444814932	-0.10024991446551348	-0.10128974242331878
46	1.8301260951042921	0.7274099106319158	1.0784384825044415	0.9976927140558555
47	-5.776195172893038	0.9459627394720493	0.7170395615918256	0.6549494489210491
48	3.4850810534954	-0.3624905280413615	0.4227855872942868	0.5293401127677948
49	-3.3338016885140886	-0.9205182075792027	0.5449700630200285	0.58955909380633
50	3.525640765434898	0.7407215407714025	0.8369044984521131	0.9508597728926931
51	-2.072656042825501	-0.6014279043835236	-0.12188999533445405	0.010896078603000292
52	4.741592932274829	-0.18247922810700778	0.24992160256880003	0.10779808913330896
53	-1.6002498078537999	0.6670103100734377	-0.18053322907265673	-0.19906373839227348
54	5.32933034147643	0.0714569809116572	0.19908341204896723	0.26172916284061726
55	-2.3377069162791635	0.0059350122337493705	-0.4290715093664769	-0.33473670307205516
56	5.548245017140918	-0.16106919847121448	0.2127125983340178	0.21584109690866288
57	-2.5088678221993557	-0.7461131924294264	0.1565152532674341	0.13947235081659176
58	5.054805174413424	0.3450296137761517	0.3229663038734023	0.23311517207346438
59	-4.787148791522507	-0.45459116071038785	-0.006072093358596764	-0.11673418804926959
60	3.2980208055551943	0.9401831547384889	1.1915485598827318	1.2577271921602242
61	-2.630131019647277	0.32604294612097595	-0.2755027198749098	-0.20460827010157256
